StateCode,State_x,Region,_StoreID,City Name,County,State_y,Type,Latitude,Longitude,AreaCode,Population,Household Income,Median Income,Land Area,Water Area,Time Zone
IL,Illinois,Midwest,153,Bloomingdale (Township),DuPage County,Illinois,Township,41.94563,-88.08462,630,113024,40097,68474,88284784,3206299,America/Chicago
IL,Illinois,Midwest,154,Bremen,Cook County,Illinois,Township,41.60156,-87.73503,708,110683,40159,55902,97756706,295143,America/Chicago
IL,Illinois,Midwest,155,Capital,Sangamon County,Illinois,Township,39.79106,-89.64457,217,116358,50476,49925,154319522,16272442,America/Chicago
IL,Illinois,Midwest,156,Chicago,Cook County/DuPage County,Illinois,City,41.83755,-87.68184,773,2720546,1035436,48522,588808396,17615206,America/Chicago
IL,Illinois,Midwest,157,Downers Grove (Township),DuPage County,Illinois,Township,41.7543,-87.97753,630,149401,56956,81535,128386816,3508803,America/Chicago
IL,Illinois,Midwest,158,Elgin,Cook County/Kane County,Illinois,City,42.03964,-88.32171,847,112111,35075,60499,96981130,1272788,America/Chicago
IL,Illinois,Midwest,159,Elgin (Township),Kane County,Illinois,Township,42.0261,-88.31822,847,104288,33089,63609,82722594,1676406,America/Chicago
IL,Illinois,Midwest,160,Hanover,Cook County,Illinois,Township,42.02803,-88.20364,847,101296,32297,73620,86551770,624095,America/Chicago
IL,Illinois,Midwest,161,Joliet,Kendall County/Will County,Illinois,City,41.5177,-88.14885,815,147861,46895,60976,166876584,1718805,America/Chicago
IL,Illinois,Midwest,162,Lisle (Township),DuPage County,Illinois,Township,41.77193,-88.09209,630,119818,45377,86610,91532435,1583080,America/Chicago
IL,Illinois,Midwest,163,Lyons (Township),Cook County,Illinois,Township,41.77475,-87.8596,708,112890,39769,66065,94153993,1462083,America/Chicago
IL,Illinois,Midwest,164,Maine,Cook County,Illinois,Township,42.03353,-87.86441,847,136667,50680,65608,67114018,640546,America/Chicago
IL,Illinois,Midwest,165,Milton,DuPage County,Illinois,Township,41.85857,-88.08948,630,118844,43510,84039,88967140,2353781,America/Chicago
IL,Illinois,Midwest,166,Naperville,Will County/DuPage County,Illinois,City,41.74917,-88.16202,630,147100,50073,109468,100155901,1471160,America/Chicago
IL,Illinois,Midwest,167,Naperville (Township),DuPage County,Illinois,Township,41.76635,-88.2009,630,102708,37133,88282,90385339,2423679,America/Chicago
IL,Illinois,Midwest,168,Niles (Township),Cook County,Illinois,Township,42.03209,-87.75778,847,106229,37478,69857,55058020,0,America/Chicago
IL,Illinois,Midwest,169,Palatine (Township),Cook County,Illinois,Township,42.11125,-88.0644,847,114057,42938,77545,92499527,989285,America/Chicago
IL,Illinois,Midwest,170,Peoria,Peoria County,Illinois,City,40.69365,-89.58899,309,115070,47239,45552,124916605,5748402,America/Chicago
IL,Illinois,Midwest,171,Peoria City,Peoria County,Illinois,Township,40.74495,-89.60964,309,104291,43267,42041,104884817,5748402,America/Chicago
IL,Illinois,Midwest,172,Proviso,Cook County,Illinois,Township,41.86472,-87.87119,708,151772,54255,53281,76908074,254,America/Chicago
IL,Illinois,Midwest,173,Rockford,Winnebago County/Ogle County,Illinois,City,42.25884,-89.06455,815,148278,58559,38716,164382960,2627885,America/Chicago
IL,Illinois,Midwest,174,Rockford (Township),Winnebago County,Illinois,Township,42.24868,-89.07452,815,173110,69780,40391,287475255,4720906,America/Chicago
IL,Illinois,Midwest,175,Schaumburg (Township),Cook County,Illinois,Township,42.02911,-88.08951,630,132162,49006,74034,79648612,555721,America/Chicago
IL,Illinois,Midwest,176,Springfield,Sangamon County,Illinois,City,39.80172,-89.64371,217,116565,50575,49868,155637192,16272442,America/Chicago
IL,Illinois,Midwest,177,Thornton (Township),Cook County,Illinois,Township,41.60127,-87.60032,708,169468,62380,41024,121463504,1255264,America/Chicago
IL,Illinois,Midwest,178,Wheeling (Township),Cook County,Illinois,Township,42.10987,-87.94458,847,155286,59425,73977,92979678,317743,America/Chicago
IL,Illinois,Midwest,179,Worth (Township),Cook County,Illinois,Township,41.69043,-87.74383,708,152861,56788,54124,82397386,875755,America/Chicago
IL,Illinois,Midwest,180,York,DuPage County,Illinois,Township,41.86177,-87.9761,630,125730,47997,76285,90808706,1568158,America/Chicago
IN,Indiana,Midwest,181,Calumet,Lake County,Indiana,Township,41.58533,-87.35516,219,100453,39770,31332,158624821,19428725,America/Chicago
IN,Indiana,Midwest,182,Center,Marion County,Indiana,Township,39.77485,-86.13949,317,147837,59947,27572,108522566,2102238,America/Indiana/Indianapolis
IN,Indiana,Midwest,183,Evansville,Vanderburgh County,Indiana,City,37.97476,-87.55585,812,119943,51271,35785,122628548,1274315,America/Chicago
IN,Indiana,Midwest,184,Fort Wayne,Allen County,Indiana,City,41.1306,-85.12886,260,260326,102273,43774,286488211,549748,America/Indiana/Indianapolis
IN,Indiana,Midwest,185,Indianapolis,Marion County.,Indiana,City,39.778,-86.14584,317,862781,316037,51682,949109238,16893545,America/Indiana/Indianapolis
IN,Indiana,Midwest,186,Lawrence (Township),Marion County,Indiana,Township,39.8716,-86.01156,317,123397,48011,50411,121424443,4188930,America/Indiana/Indianapolis
IN,Indiana,Midwest,187,North,Lake County,Indiana,Township,41.61329,-87.47085,219,157105,58240,44334,137725287,14822486,America/Chicago
IN,Indiana,Midwest,188,Perry,Marion County,Indiana,Township,39.67674,-86.15616,317,113236,44154,44302,118291390,259404,America/Indiana/Indianapolis
IN,Indiana,Midwest,189,South Bend,St. Joseph County,Indiana,City,41.68338,-86.25001,574,101516,39448,34523,107226145,1077799,America/Indiana/Indianapolis
IN,Indiana,Midwest,190,Warren,Marion County,Indiana,Township,39.77514,-86.01718,317,103365,38889,41504,125067149,209265,America/Indiana/Indianapolis
IN,Indiana,Midwest,191,Washington,Marion County,Indiana,Township,39.87632,-86.14291,317,137215,58263,50615,125858508,2908711,America/Indiana/Indianapolis
IN,Indiana,Midwest,192,Wayne,Allen County,Indiana,Township,41.05238,-85.16209,260,106185,41596,32194,109127525,317390,America/Indiana/Indianapolis
IN,Indiana,Midwest,193,Wayne,Marion County,Indiana,Township,39.77186,-86.26094,317,142010,52540,35884,126591941,1036389,America/Indiana/Indianapolis
KS,Kansas,Midwest,194,Kansas City,Wyandotte County,Kansas,City,39.11417,-94.62746,913,151306,54629,38749,323260927,9232017,America/Chicago
KS,Kansas,Midwest,195,Olathe,Johnson County,Kansas,City,38.8814,-94.81913,913,134305,45742,77335,157638037,1946472,America/Chicago
KS,Kansas,Midwest,196,Overland Park,Johnson County,Kansas,City,38.98223,-94.67079,913,186515,74830,72463,194562941,1309517,America/Chicago
KS,Kansas,Midwest,197,Topeka,Shawnee County,Kansas,City,39.04833,-95.67804,785,127265,52711,42250,159180160,3400123,America/Chicago
KS,Kansas,Midwest,198,Wichita,Sedgwick County,Kansas,City,37.69224,-97.33754,316,389965,150683,45947,415365564,11294497,America/Chicago
KY,Kentucky,South,199,Lexington-Fayette,Fayette County,Kentucky,Urban County ,38.0498,-84.45855,859,314488,125752,49778,734642357,4922241,America/New York
KY,Kentucky,South,200,Louisville,Jefferson County,Kentucky,City,38.25424,-85.75941,502,760026,0,0,159116437,12579358,America/New York
LA,Louisiana,South,201,Baton Rouge,East Baton Rouge Parish,Louisiana,City,30.45075,-91.15455,225,228590,88476,39876,222547923,5682680,America/Chicago
