StateCode,State_x,Region,_StoreID,City Name,County,State_y,Type,Latitude,Longitude,AreaCode,Population,Household Income,Median Income,Land Area,Water Area,Time Zone
NY,New York,Northeast,272,Rochester,Monroe County,New York,City,43.15478,-77.61556,716,209802,85741,30960,92678538,3546651,America/New York
NY,New York,Northeast,273,Smithtown,Suffolk County,New York,Town,40.91922,-73.17912,631,118275,39425,112693,139096977,149547375,America/New York
NY,New York,Northeast,274,Staten Island,Richmond County,New York,Borough,40.57628,-74.14484,718,474558,156341,55039,152000000,110000000,America/New York
NY,New York,Northeast,275,Syracuse,Onondaga County,New York,City,43.04812,-76.14742,315,144142,54781,31881,64867329,1463257,America/New York
NY,New York,Northeast,276,The Bronx,Bronx County,New York,Borough,40.83722,-73.88611,347,1455444,523690,34299,110000000,40000000,America/New York
NY,New York,Northeast,277,Yonkers,Westchester County,New York,City,40.93121,-73.89875,914,201116,73073,59049,46651457,5916223,America/New York
OH,Ohio,Midwest,278,Akron,Summit County,Ohio,City,41.08144,-81.51901,330,197542,83684,34512,160659689,880527,America/New York
OH,Ohio,Midwest,279,Cincinnati,Hamilton County,Ohio,City,39.162,-84.45689,513,298550,133039,33604,200434440,4155432,America/New York
OH,Ohio,Midwest,280,Cleveland,Cuyahoga County,Ohio,City,41.4995,-81.69541,216,388072,167100,26150,201255242,12332080,America/New York
OH,Ohio,Midwest,281,Columbus,Delaware County/Franklin County/Fairfield County,Ohio,City,39.98524,-82.98477,614,850106,334724,45659,565783587,15247719,America/New York
OH,Ohio,Midwest,282,Dayton,Montgomery County,Ohio,City,39.75895,-84.19161,937,140599,57316,27683,144197693,2208312,America/New York
OH,Ohio,Midwest,283,Toledo,Lucas County,Ohio,City,41.66394,-83.55521,419,279789,117531,33687,209065315,8887951,America/New York
OK,Oklahoma,South,284,Broken Arrow,Wagoner County/Tulsa County,Oklahoma,City,36.03653,-95.781,918,106563,37246,67131,159889421,1579677,America/Chicago
OK,Oklahoma,South,285,Norman,Cleveland County,Oklahoma,City,35.22257,-97.43948,405,120284,44911,51491,463011592,27576719,America/Chicago
OK,Oklahoma,South,286,Oklahoma City,Canadian County/Pottawatomie County/Oklahoma County/Cleveland County,Oklahoma,City,35.46708,-97.51366,405,631346,232254,47779,1570317627,37245501,America/Chicago
OK,Oklahoma,South,287,Tulsa,Rogers County/Wagoner County/Osage County/Tulsa County,Oklahoma,City,36.12795,-95.90232,918,403505,164471,42284,509834953,10955689,America/Chicago
OR,Oregon,West,288,Eugene,Lane County,Oregon,City,44.05207,-123.08675,541,163460,66093,43101,114273476,58974,America/Los Angeles
OR,Oregon,West,289,Gresham,Multnomah County,Oregon,City,45.49818,-122.43148,503,110553,38773,46956,60342997,532750,America/Los Angeles
OR,Oregon,West,290,Hillsboro,Washington County,Oregon,City,45.52289,-122.98983,503,102347,35284,67757,64707200,31207,America/Los Angeles
OR,Oregon,West,291,Portland,Clackamas County/Multnomah County/Washington County,Oregon,City,45.53695,-122.64997,503,632309,254167,55003,345657944,30147582,America/Los Angeles
OR,Oregon,West,292,Salem,Marion County/Polk County,Oregon,City,44.92371,-123.02319,503,164549,57729,47191,125786966,1433926,America/Los Angeles
PA,Pennsylvania,Northeast,293,Allentown,Lehigh County,Pennsylvania,City,40.60843,-75.49018,610,120207,41244,36930,45448161,1238395,America/New York
PA,Pennsylvania,Northeast,294,Philadelphia,Philadelphia County,Pennsylvania,City,39.95234,-75.16379,445,1567442,581050,38253,347519465,22089787,America/New York
PA,Pennsylvania,Northeast,295,Pittsburgh,Allegheny County,Pennsylvania,City,40.44062,-79.99589,412,304391,132468,40715,143423857,7692318,America/New York
RI,Rhode Island,Northeast,296,Providence,Providence County,Rhode Island,City,41.82399,-71.41283,401,179207,61481,37501,47655935,5618032,America/New York
SC,South Carolina,South,297,Charleston,Berkeley County/Charleston County,South Carolina,City,32.81793,-79.95896,843,132609,52450,55546,282372739,47927393,America/New York
SC,South Carolina,South,298,Columbia,Lexington County/Richland County,South Carolina,City,34.0291,-80.89804,803,133803,44506,41260,345805347,6998722,America/New York
SC,South Carolina,South,299,North Charleston,Dorchester County/Berkeley County/Charleston County,South Carolina,City,32.91782,-80.06503,843,108304,37597,39543,190807625,8969264,America/New York
SD,South Dakota,Midwest,300,Sioux Falls,Minnehaha County/Lincoln County,South Dakota,City,43.53834,-96.732,605,171544,65538,52494,195275757,1354349,America/Chicago
TN,Tennessee,South,301,Chattanooga,Hamilton County,Tennessee,City,35.04563,-85.30968,423,176588,70228,40177,370573763,19930234,America/New York
TN,Tennessee,South,302,Clarksville,Montgomery County,Tennessee,City,36.52977,-87.35945,931,149176,51776,46947,254527982,1754875,America/Chicago
TN,Tennessee,South,303,Knoxville,Knox County,Tennessee,City,35.96064,-83.92074,865,185291,81073,34226,255161763,14631856,America/New York
TN,Tennessee,South,304,Memphis,Shelby County,Tennessee,City,35.14953,-90.04898,901,655770,249775,36445,822013083,23171205,America/Chicago
TN,Tennessee,South,305,Murfreesboro,Rutherford County,Tennessee,City,35.84562,-86.39027,615,126118,44518,51094,144718226,387261,America/Chicago
TN,Tennessee,South,306,Nashville,Davidson County,Tennessee,Metropolitan Government,36.16913,-86.78479,615,678889,248677,41759,1304953365,56649279,America/Chicago
TX,Texas,South,307,Abilene,Jones County/Taylor County,Texas,City,32.45451,-99.73815,325,121721,42348,43189,276322592,14012163,America/Chicago
TX,Texas,South,308,Amarillo,Randall County/Potter County,Texas,City,35.19988,-101.8302,806,198645,74769,47735,262507124,4049009,America/Chicago
TX,Texas,South,309,Arlington,Tarrant County,Texas,City,32.73569,-97.10807,682,388125,133808,53326,248200304,9682817,America/Chicago
TX,Texas,South,310,Austin,Hays County/Williamson County/Travis County,Texas,City,30.30394,-97.75436,512,931830,351195,57689,809976356,17536404,America/Chicago
TX,Texas,South,311,Beaumont,Jefferson County,Texas,City,30.08605,-94.10185,409,118129,46193,40992,212750142,7553306,America/Chicago
TX,Texas,South,312,Brownsville,Cameron County,Texas,City,25.90175,-97.49748,956,183887,51563,32894,343092656,35763836,America/Chicago
TX,Texas,South,313,Carrollton,Collin County/Denton County/Dallas County,Texas,City,32.98836,-96.89977,972,133168,45263,69368,93959417,2048329,America/Chicago
TX,Texas,South,314,College Station,Brazos County,Texas,City,30.62798,-96.33441,979,107889,36175,34186,132070745,369349,America/Chicago
TX,Texas,South,315,Corpus Christi,Aransas County/Kleberg County/Nueces County/San Patricio County,Texas,City,27.75425,-97.17339,361,324074,114817,50658,452109961,852118618,America/Chicago
TX,Texas,South,316,Dallas,Rockwall County/Kaufman County/Collin County/Denton County/Dallas County,Texas,City,32.79333,-96.76651,972,1300092,477249,43781,882933616,113644009,America/Chicago
TX,Texas,South,317,Denton,Denton County,Texas,City,33.21484,-97.13307,940,131044,43745,49100,241927463,4345974,America/Chicago
TX,Texas,South,318,El Paso,El Paso County,Texas,City,31.75872,-106.48693,915,681124,220682,42772,665041415,2247591,America/Denver
TX,Texas,South,319,Fort Worth,Parker County/Johnson County/Tarrant County/Wise County/Denton County,Texas,City,32.78152,-97.34675,682,833319,273457,53214,888054781,21556246,America/Chicago
TX,Texas,South,320,Frisco,Collin County/Denton County,Texas,City,33.15543,-96.8226,972,154407,45452,114098,175272056,1449212,America/Chicago
TX,Texas,South,321,Garland,Rockwall County/Collin County/Dallas County,Texas,City,32.90983,-96.63033,972,236897,74912,51970,147728408,324680,America/Chicago
TX,Texas,South,322,Grand Prairie,Tarrant County/Ellis County/Dallas County,Texas,City,32.68695,-97.0211,972,187809,59196,56475,187154949,23055080,America/Chicago
TX,Texas,South,323,Houston,Fort Bend County/Harris County/Montgomery County,Texas,City,29.78664,-95.3909,832,2296224,814599,46187,1651228436,73316071,America/Chicago
TX,Texas,South,324,Irving,Dallas County,Texas,City,32.81402,-96.94889,972,236607,83649,52154,173638538,2582657,America/Chicago
TX,Texas,South,325,Killeen,Bell County,Texas,City,31.11712,-97.7278,254,140806,46952,47763,138670219,1727829,America/Chicago
TX,Texas,South,326,Laredo,Webb County,Texas,City,27.50641,-99.50754,956,255473,66308,39711,261900969,3788915,America/Chicago
TX,Texas,South,327,Lewisville,Denton County/Dallas County,Texas,City,33.04655,-96.98183,972,104039,38430,57267,94986734,15721445,America/Chicago
TX,Texas,South,328,Lubbock,Lubbock County,Texas,City,33.57786,-101.85517,806,249042,90433,44648,322793416,2955879,America/Chicago
TX,Texas,South,329,McAllen,Hidalgo County,Texas,City,26.20341,-98.23001,956,140269,42225,44254,151143159,1038050,America/Chicago
TX,Texas,South,330,McKinney,Collin County,Texas,City,33.19762,-96.61527,972,162898,50455,81459,163107658,1741187,America/Chicago
TX,Texas,South,331,Mesquite,Kaufman County/Dallas County,Texas,City,32.76288,-96.58877,972,144788,47795,49604,122320600,479994,America/Chicago
TX,Texas,South,332,Midland,Martin County/Midland County,Texas,City,32.02464,-102.11347,432,132950,43214,69173,192622240,460027,America/Chicago
TX,Texas,South,333,Odessa,Midland County/Ector County,Texas,City,31.88378,-102.34106,432,118968,39057,59337,117009169,667150,America/Chicago
TX,Texas,South,334,Pasadena,Harris County,Texas,City,29.69106,-95.2091,832,153784,49256,48004,112645407,3870729,America/Chicago
TX,Texas,South,335,Pearland,Fort Bend County/Harris County/Brazoria County,Texas,City,29.55576,-95.32307,832,108821,34776,95972,119994309,454012,America/Chicago
TX,Texas,South,336,Plano,Collin County/Denton County,Texas,City,33.05077,-96.74794,972,283558,103937,83793,185617682,927319,America/Chicago
TX,Texas,South,337,Richardson,Collin County/Dallas County,Texas,City,32.97229,-96.70807,972,110815,40020,72427,73982785,234329,America/Chicago
TX,Texas,South,338,Round Rock,Williamson County/Travis County,Texas,City,30.52524,-97.66595,512,115997,35580,72412,92117027,781179,America/Chicago
TX,Texas,South,339,San Angelo,Tom Green County,Texas,City,31.46377,-100.43704,325,100450,36409,44802,155255892,5940332,America/Chicago
TX,Texas,South,340,San Antonio,Bexar County/Comal County/Medina County,Texas,City,29.4724,-98.52514,210,1469845,488645,46744,1193951388,14825948,America/Chicago
TX,Texas,South,341,The Woodlands,Harris County/Montgomery County,Texas,CDP,30.17256,-95.50981,832,102911,38114,109917,111856589,1380351,America/Chicago
TX,Texas,South,342,Tyler,Smith County,Texas,City,32.35126,-95.30106,903,103700,37644,42840,146667943,1327654,America/Chicago
TX,Texas,South,343,Waco,McLennan County,Texas,City,31.54933,-97.14667,254,132356,46719,33147,230561142,31850141,America/Chicago
TX,Texas,South,344,Wichita Falls,Wichita County,Texas,City,33.91371,-98.49339,940,104710,37200,44543,187027492,61486,America/Chicago
UT,Utah,West,345,Provo,Utah County,Utah,City,40.23384,-111.65853,385,115264,32506,41291,107922719,6474977,America/Denver
UT,Utah,West,346,Salt Lake City,Salt Lake County,Utah,City,40.76078,-111.89105,385,192672,75330,47243,288044514,1216737,America/Denver
UT,Utah,West,347,West Jordan,Salt Lake County,Utah,City,40.60967,-111.9391,385,111946,31742,68442,83717638,0,America/Denver
UT,Utah,West,348,West Valley City,Salt Lake County,Utah,City,40.69161,-112.00105,385,136208,36213,52534,91854060,136726,America/Denver
VA,Virginia,South,349,Alexandria,Alexandria city,Virginia,City,38.80484,-77.04692,571,153511,66879,89134,38977688,1127171,America/New York
VA,Virginia,South,350,Arlington,Arlington County,Virginia,CDP,38.89039,-77.08414,571,220173,98441,105763,67318429,244142,America/New York
VA,Virginia,South,351,Chesapeake,Chesapeake city,Virginia,City,36.81904,-76.27494,757,235429,81518,68620,876737780,32210024,America/New York
VA,Virginia,South,352,Hampton,Hampton city,Virginia,City,37.02987,-76.34522,757,136454,52940,49190,133308913,219591352,America/New York
VA,Virginia,South,353,Newport News,Newport News city,Virginia,City,36.97876,-76.428,757,182385,69073,50077,178921044,130901482,America/New York
VA,Virginia,South,354,Norfolk,Norfolk city,Virginia,City,36.84681,-76.28522,757,246393,87045,44480,137985835,111697132,America/New York
VA,Virginia,South,355,Richmond,Richmond city,Virginia,City,37.55376,-77.46026,804,220289,87224,40758,154942138,6879776,America/New York
VA,Virginia,South,356,Virginia Beach,Virginia Beach city,Virginia,City,36.85293,-75.97799,757,452745,166242,66634,633821720,654694207,America/New York
WA,Washington,West,357,Bellevue,King County,Washington,City,47.61038,-122.20068,425,139820,54216,94638,86712345,649599,America/Los Angeles
WA,Washington,West,358,Everett,Snohomish County,Washington,City,47.97898,-122.20208,425,108010,42079,49578,86145342,38944936,America/Los Angeles
WA,Washington,West,359,Kent,King County,Washington,City,47.38093,-122.23484,253,126952,42233,60191,87393046,1737187,America/Los Angeles
WA,Washington,West,360,Renton,King County,Washington,City,47.48288,-122.21707,425,100242,37994,64802,60663567,511360,America/Los Angeles
WA,Washington,West,361,Seattle,King County,Washington,City,47.60621,-122.33207,206,684451,296633,70594,217138889,152104725,America/Los Angeles
WA,Washington,West,362,Spokane,Spokane County,Washington,City,47.65878,-117.42605,509,213272,87623,42386,178034003,1984449,America/Los Angeles
WA,Washington,West,363,Tacoma,Pierce County,Washington,City,47.25288,-122.44429,253,207948,79026,52042,128821146,32854483,America/Los Angeles
WA,Washington,West,364,Vancouver,Clark County,Washington,City,45.63873,-122.66149,360,172860,66417,50626,121557343,9484341,America/Los Angeles
WI,Wisconsin,Midwest,365,Green Bay,Brown County,Wisconsin,City,44.51916,-88.01983,920,105207,42308,42826,117673093,27054147,America/Chicago
WI,Wisconsin,Midwest,366,Madison,Dane County,Wisconsin,City,43.07305,-89.40123,608,248951,104087,54896,199339279,44491310,America/Chicago
WI,Wisconsin,Midwest,367,Milwaukee,Milwaukee County/Washington County/Waukesha County,Wisconsin,City,43.06335,-87.9667,414,600155,230807,35958,249128870,1720458,America/Chicago
